Measurements of the EE power spectrum, power is [l(l+1)]^2 C_l / 2pi in uK^2
 
   Experiment            l_center     EE    sigma_EE_minus  sigma_EE_plus
 
ACTPol_2016                350.0    18.773       1.793         1.793
ACTPol_2016                400.0    21.330       2.023         2.023
ACTPol_2016                450.0    15.424       1.489         1.489
ACTPol_2016                500.0     9.451       1.037         1.037
ACTPol_2016                550.0     9.396       1.065         1.065
ACTPol_2016                600.0    17.612       1.750         1.750
ACTPol_2016                650.0    29.818       2.573         2.573
ACTPol_2016                700.0    32.910       2.783         2.783
ACTPol_2016                750.0    27.801       2.221         2.221
ACTPol_2016                800.0    17.552       1.475         1.475
ACTPol_2016                850.0    12.860       1.405         1.405
ACTPol_2016                900.0    23.191       1.919         1.919
ACTPol_2016                950.0    34.725       2.646         2.646
ACTPol_2016               1000.0    39.315       2.738         2.738
ACTPol_2016               1050.0    28.515       2.264         2.264
ACTPol_2016               1100.0    18.277       1.727         1.727
ACTPol_2016               1150.0    12.331       1.390         1.390
ACTPol_2016               1200.0    15.881       1.636         1.636
ACTPol_2016               1250.0    24.753       2.048         2.048
ACTPol_2016               1300.0    29.139       2.238         2.238
ACTPol_2016               1350.0    26.592       2.175         2.175
ACTPol_2016               1400.0    17.776       1.677         1.677
ACTPol_2016               1450.0    11.748       1.418         1.418
ACTPol_2016               1500.0    12.255       1.434         1.434
ACTPol_2016               1550.0    17.940       1.722         1.722
ACTPol_2016               1600.0    22.289       1.950         1.950
ACTPol_2016               1650.0    18.315       1.804         1.804
ACTPol_2016               1700.0    12.919       1.585         1.585
ACTPol_2016               1750.0    12.505       1.431         1.431
ACTPol_2016               1800.0     7.451       1.412         1.412
ACTPol_2016               1850.0     6.885       1.552         1.552
ACTPol_2016               1900.0    10.533       1.632         1.632
ACTPol_2016               1950.0    10.253       1.729         1.729
ACTPol_2016               2000.0     8.793       1.690         1.690
ACTPol_2016               2075.0     3.082       1.045         1.045
ACTPol_2016               2175.0     5.834       1.231         1.231
ACTPol_2016               2275.0     2.888       1.180         1.180
ACTPol_2016               2375.0     2.343       1.206         1.206
ACTPol_2016               2475.0     1.835       1.193         1.193
ACTPol_2016               2625.0     1.072       0.948         0.948
ACTPol_2016               2825.0     1.705       1.059         1.059
ACTPol_2016               3025.0     0.084       1.182         1.182
ACTPol_2016               3325.0    -0.181       0.991         0.991
ACTPol_2016               3725.0    -0.998       1.268         1.268
BICEP2/Keck_2015            45.3     0.145       0.038         0.038
BICEP2/Keck_2015            74.2     0.518       0.079         0.079
BICEP2/Keck_2015           109.2     0.904       0.140         0.140
