#Measurements of the EE power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
ACTPol_2016        ,          ,     350.0 ,           ,      18.7730 ,       1.7930 ,       1.7930 ,             
ACTPol_2016        ,          ,     400.0 ,           ,      21.3300 ,       2.0230 ,       2.0230 ,             
ACTPol_2016        ,          ,     450.0 ,           ,      15.4240 ,       1.4890 ,       1.4890 ,             
ACTPol_2016        ,          ,     500.0 ,           ,       9.4510 ,       1.0370 ,       1.0370 ,             
ACTPol_2016        ,          ,     550.0 ,           ,       9.3960 ,       1.0650 ,       1.0650 ,             
ACTPol_2016        ,          ,     600.0 ,           ,      17.6120 ,       1.7500 ,       1.7500 ,             
ACTPol_2016        ,          ,     650.0 ,           ,      29.8180 ,       2.5730 ,       2.5730 ,             
ACTPol_2016        ,          ,     700.0 ,           ,      32.9100 ,       2.7830 ,       2.7830 ,             
ACTPol_2016        ,          ,     750.0 ,           ,      27.8010 ,       2.2210 ,       2.2210 ,             
ACTPol_2016        ,          ,     800.0 ,           ,      17.5520 ,       1.4750 ,       1.4750 ,             
ACTPol_2016        ,          ,     850.0 ,           ,      12.8600 ,       1.4050 ,       1.4050 ,             
ACTPol_2016        ,          ,     900.0 ,           ,      23.1910 ,       1.9190 ,       1.9190 ,             
ACTPol_2016        ,          ,     950.0 ,           ,      34.7250 ,       2.6460 ,       2.6460 ,             
ACTPol_2016        ,          ,    1000.0 ,           ,      39.3150 ,       2.7380 ,       2.7380 ,             
ACTPol_2016        ,          ,    1050.0 ,           ,      28.5150 ,       2.2640 ,       2.2640 ,             
ACTPol_2016        ,          ,    1100.0 ,           ,      18.2770 ,       1.7270 ,       1.7270 ,             
ACTPol_2016        ,          ,    1150.0 ,           ,      12.3310 ,       1.3900 ,       1.3900 ,             
ACTPol_2016        ,          ,    1200.0 ,           ,      15.8810 ,       1.6360 ,       1.6360 ,             
ACTPol_2016        ,          ,    1250.0 ,           ,      24.7530 ,       2.0480 ,       2.0480 ,             
ACTPol_2016        ,          ,    1300.0 ,           ,      29.1390 ,       2.2380 ,       2.2380 ,             
ACTPol_2016        ,          ,    1350.0 ,           ,      26.5920 ,       2.1750 ,       2.1750 ,             
ACTPol_2016        ,          ,    1400.0 ,           ,      17.7760 ,       1.6770 ,       1.6770 ,             
ACTPol_2016        ,          ,    1450.0 ,           ,      11.7480 ,       1.4180 ,       1.4180 ,             
ACTPol_2016        ,          ,    1500.0 ,           ,      12.2550 ,       1.4340 ,       1.4340 ,             
ACTPol_2016        ,          ,    1550.0 ,           ,      17.9400 ,       1.7220 ,       1.7220 ,             
ACTPol_2016        ,          ,    1600.0 ,           ,      22.2890 ,       1.9500 ,       1.9500 ,             
ACTPol_2016        ,          ,    1650.0 ,           ,      18.3150 ,       1.8040 ,       1.8040 ,             
ACTPol_2016        ,          ,    1700.0 ,           ,      12.9190 ,       1.5850 ,       1.5850 ,             
ACTPol_2016        ,          ,    1750.0 ,           ,      12.5050 ,       1.4310 ,       1.4310 ,             
ACTPol_2016        ,          ,    1800.0 ,           ,       7.4510 ,       1.4120 ,       1.4120 ,             
ACTPol_2016        ,          ,    1850.0 ,           ,       6.8850 ,       1.5520 ,       1.5520 ,             
