Measurements of the TE power spectrum, power is [l(l+1)]^2 C_l / 2pi in uK^2
 
   Experiment            l_center     TE    sigma_TE_minus  sigma_TE_plus
 
ACTPol_2016                350.0     85.45       19.09         19.09
ACTPol_2016                400.0     -9.44       15.67         15.67
ACTPol_2016                450.0    -65.73       14.16         14.16
ACTPol_2016                500.0    -43.89       12.55         12.55
ACTPol_2016                550.0     16.65       11.88         11.88
ACTPol_2016                600.0     32.57       13.60         13.60
ACTPol_2016                650.0    -16.83       14.89         14.89
ACTPol_2016                700.0    -76.58       14.72         14.72
ACTPol_2016                750.0   -142.72       14.40         14.40
ACTPol_2016                800.0    -79.96       11.37         11.37
ACTPol_2016                850.0    -13.04       10.76         10.76
ACTPol_2016                900.0     47.26       10.46         10.46
ACTPol_2016                950.0     40.67       10.76         10.76
ACTPol_2016               1000.0    -24.71        9.85          9.85
ACTPol_2016               1050.0    -69.58        9.07          9.07
ACTPol_2016               1100.0    -78.76        8.50          8.50
ACTPol_2016               1150.0    -32.99        7.22          7.22
ACTPol_2016               1200.0      7.42        7.17          7.17
ACTPol_2016               1250.0    -21.54        7.08          7.08
ACTPol_2016               1300.0    -37.29        7.14          7.14
ACTPol_2016               1350.0    -71.09        6.85          6.85
ACTPol_2016               1400.0    -45.57        6.25          6.25
ACTPol_2016               1450.0    -31.36        5.74          5.74
ACTPol_2016               1500.0     -3.59        5.13          5.13
ACTPol_2016               1550.0     -1.44        5.12          5.12
ACTPol_2016               1600.0     -9.42        4.90          4.90
ACTPol_2016               1650.0    -21.99        4.60          4.60
ACTPol_2016               1700.0    -31.54        4.22          4.22
ACTPol_2016               1750.0    -16.60        3.93          3.93
ACTPol_2016               1800.0     -9.78        3.77          3.77
ACTPol_2016               1850.0     -7.21        3.74          3.74
ACTPol_2016               1900.0    -16.66        3.75          3.75
ACTPol_2016               1950.0    -22.84        3.48          3.48
ACTPol_2016               2000.0    -15.24        3.47          3.47
ACTPol_2016               2075.0    -14.29        2.24          2.24
ACTPol_2016               2175.0     -5.10        2.04          2.04
ACTPol_2016               2275.0     -5.44        1.96          1.96
ACTPol_2016               2375.0     -9.01        1.84          1.84
ACTPol_2016               2475.0     -0.22        1.73          1.73
ACTPol_2016               2625.0     -3.56        1.18          1.18
ACTPol_2016               2825.0     -1.79        1.08          1.08
ACTPol_2016               3025.0     -2.45        1.14          1.14
ACTPol_2016               3325.0      1.40        0.85          0.85
ACTPol_2016               3725.0     -1.44        0.93          0.93
BICEP2/Keck_2015            45.3      3.17        2.39          2.39
BICEP2/Keck_2015            74.2     -5.15        3.16          3.16
BICEP2/Keck_2015           109.2    -31.00        5.27          5.27
BICEP2/Keck_2015           144.3    -49.40        5.74          5.74
BICEP2/Keck_2015           179.1    -26.70        5.31          5.31
BICEP2/Keck_2015           213.7     17.10        5.76          5.76
BICEP2/Keck_2015           248.4     56.80        7.05          7.05
BICEP2/Keck_2015           283.0    111.00        8.44          8.44
BICEP2/Keck_2015           317.2    145.00       11.30         11.30
Planck_2015                  2.0      0.83        3.98          3.98
Planck_2015                  3.0      0.68        3.80          3.80
Planck_2015                  4.0      3.85        3.75          3.75
Planck_2015                  5.0      5.34        3.50          3.50
Planck_2015                  6.0     -3.22        3.45          3.45
Planck_2015                  7.0     -0.73        3.40          3.40
Planck_2015                  8.0      5.98        3.49          3.49
Planck_2015                  9.0     11.80        3.56          3.56
Planck_2015                 10.0      7.09        3.70          3.70
Planck_2015                 11.0      9.02        3.80          3.80
Planck_2015                 12.0     -2.69        3.95          3.95
Planck_2015                 13.0      1.22        4.08          4.08
Planck_2015                 14.0      7.53        4.22          4.22
Planck_2015                 15.0     -6.79        4.36          4.36
Planck_2015                 16.0      2.51        4.50          4.50
Planck_2015                 17.0      4.87        4.65          4.65
Planck_2015                 18.0      9.28        4.80          4.80
Planck_2015                 19.0      5.08        4.95          4.95
Planck_2015                 20.0      8.41        5.10          5.10
Planck_2015                 21.0     10.43        5.26          5.26
Planck_2015                 22.0     -1.74        5.41          5.41
Planck_2015                 23.0     -0.42        5.58          5.58
Planck_2015                 24.0      5.98        5.74          5.74
Planck_2015                 25.0     -4.70        5.91          5.91
Planck_2015                 26.0      5.97        6.07          6.07
Planck_2015                 27.0     -6.71        6.27          6.27
Planck_2015                 28.0      4.89        6.44          6.44
Planck_2015                 29.0     11.63        6.65          6.65
Planck_2015                 47.7      0.67        0.64          0.64
Planck_2015                 76.5     -7.54        0.84          0.84
Planck_2015                105.9    -27.68        1.16          1.16
Planck_2015                135.6    -41.67        1.42          1.42
Planck_2015                165.4    -46.94        1.50          1.50
Planck_2015                195.3    -19.87        1.48          1.48
Planck_2015                225.2     21.64        1.62          1.62
Planck_2015                255.1     68.97        2.00          2.00
Planck_2015                285.0    108.08        2.38          2.38
Planck_2015                315.0    119.01        2.51          2.51
Planck_2015                344.9     93.96        2.37          2.37
Planck_2015                374.9     47.10        2.11          2.11
Planck_2015                404.9     -7.78        1.93          1.93
Planck_2015                434.8    -54.67        1.90          1.90
Planck_2015                464.8    -76.45        1.90          1.90
Planck_2015                494.8    -63.85        1.83          1.83
Planck_2015                524.8    -31.37        1.70          1.70
Planck_2015                554.8      4.84        1.79          1.79
Planck_2015                584.8     26.13        1.96          1.96
Planck_2015                614.7     24.14        2.09          2.09
Planck_2015                644.7     -4.59        2.17          2.17
Planck_2015                674.7    -58.68        2.25          2.25
Planck_2015                704.7    -98.45        2.36          2.36
Planck_2015                734.7   -127.37        2.44          2.44
Planck_2015                764.7   -122.11        2.44          2.44
Planck_2015                794.7    -94.69        2.38          2.38
Planck_2015                824.7    -46.80        2.33          2.33
Planck_2015                854.7      5.17        2.33          2.33
Planck_2015                884.7     44.44        2.36          2.36
Planck_2015                914.7     60.22        2.34          2.34
Planck_2015                944.7     46.22        2.27          2.27
Planck_2015                974.7     13.66        2.17          2.17
Planck_2015               1004.6    -35.12        2.27          2.27
Planck_2015               1034.6    -58.44        2.36          2.36
Planck_2015               1064.6    -80.04        2.43          2.43
Planck_2015               1094.6    -70.61        2.50          2.50
Planck_2015               1124.6    -49.67        2.55          2.55
Planck_2015               1154.6    -24.83        2.59          2.59
Planck_2015               1184.6     -9.10        2.59          2.59
Planck_2015               1214.6      1.39        2.57          2.57
Planck_2015               1244.6     -0.42        2.54          2.54
Planck_2015               1274.6    -14.79        2.53          2.53
Planck_2015               1304.6    -38.67        2.57          2.57
Planck_2015               1334.6    -52.30        2.67          2.67
Planck_2015               1364.6    -62.41        2.81          2.81
Planck_2015               1394.6    -57.87        2.96          2.96
Planck_2015               1424.6    -45.10        3.08          3.08
Planck_2015               1454.6    -28.08        3.17          3.17
Planck_2015               1484.6     -5.53        3.21          3.21
Planck_2015               1514.6      5.40        3.22          3.22
Planck_2015               1544.6      5.55        3.22          3.22
Planck_2015               1574.6     -4.87        3.24          3.24
Planck_2015               1604.6     -8.84        3.30          3.30
Planck_2015               1634.6    -24.99        3.43          3.43
Planck_2015               1664.6    -24.07        3.61          3.61
Planck_2015               1694.6    -28.62        3.84          3.84
Planck_2015               1724.6    -28.41        4.07          4.07
Planck_2015               1754.6    -14.11        4.31          4.31
Planck_2015               1784.6    -14.27        4.54          4.54
Planck_2015               1814.6     -3.43        4.76          4.76
Planck_2015               1844.6     -4.74        5.00          5.00
Planck_2015               1874.6      2.09        5.26          5.26
Planck_2015               1904.6    -10.36        5.57          5.57
Planck_2015               1934.6     -2.58        5.95          5.95
Planck_2015               1964.6    -20.29        6.38          6.38
Planck_2015               1988.0    -29.91        9.07          9.07
SPTpol_2015                521.0    -60.16       20.54         20.54
