# Theory BB lensing spectra (r=0) with Planck 2018 best-fit parameters from plikHM_TTTEEE_lowl_lowE_lensing LCDM chain
# l	l(l+1)Cl^BB/2pi [uK^2]
0	0.000000e+00
1	0.000000e+00
2	1.824548e-06
3	3.649570e-06
4	6.083665e-06
5	9.127456e-06
6	1.278171e-05
7	1.704733e-05
8	2.192537e-05
9	2.741698e-05
10	3.352344e-05
11	4.024616e-05
12	4.758660e-05
13	5.554634e-05
14	6.412701e-05
15	7.333032e-05
16	8.315800e-05
17	9.361184e-05
18	1.046936e-04
19	1.164052e-04
20	1.287483e-04
21	1.417248e-04
22	1.553363e-04
23	1.695846e-04
24	1.844714e-04
25	1.999981e-04
26	2.161664e-04
27	2.329775e-04
28	2.504329e-04
29	2.685337e-04
30	2.872811e-04
31	3.066759e-04
32	3.267190e-04
33	3.474112e-04
34	3.687530e-04
35	3.907449e-04
36	4.133873e-04
37	4.366802e-04
38	4.606238e-04
39	4.852181e-04
40	5.104627e-04
41	5.363575e-04
42	5.629020e-04
43	5.900958e-04
44	6.179381e-04
45	6.464284e-04
46	6.755658e-04
47	7.053496e-04
48	7.357788e-04
49	7.668526e-04
50	7.985701e-04
51	8.309301e-04
52	8.639319e-04
53	8.975744e-04
54	9.318567e-04
55	9.667780e-04
56	1.002337e-03
57	1.038534e-03
58	1.075367e-03
59	1.112836e-03
60	1.150941e-03
61	1.189680e-03
62	1.229054e-03
63	1.269063e-03
64	1.309706e-03
65	1.350983e-03
66	1.392895e-03
67	1.435441e-03
68	1.478624e-03
69	1.522442e-03
70	1.566897e-03
71	1.611989e-03
72	1.657721e-03
73	1.704092e-03
74	1.751106e-03
75	1.798762e-03
76	1.847063e-03
77	1.896010e-03
78	1.945606e-03
79	1.995852e-03
80	2.046752e-03
81	2.098306e-03
82	2.150518e-03
83	2.203391e-03
84	2.256926e-03
85	2.311127e-03
86	2.365996e-03
87	2.421537e-03
88	2.477752e-03
89	2.534645e-03
90	2.592219e-03
91	2.650476e-03
92	2.709421e-03
93	2.769056e-03
94	2.829384e-03
95	2.890410e-03
96	2.952137e-03
97	3.014568e-03
98	3.077707e-03
99	3.141557e-03
100	3.206121e-03
101	3.271404e-03
102	3.337410e-03
103	3.404141e-03
104	3.471602e-03
105	3.539796e-03
106	3.608728e-03
107	3.678402e-03
108	3.748820e-03
109	3.819988e-03
110	3.891910e-03
111	3.964590e-03
112	4.038032e-03
113	4.112241e-03
114	4.187221e-03
115	4.262977e-03
116	4.339514e-03
117	4.416836e-03
118	4.494949e-03
119	4.573857e-03
120	4.653567e-03
121	4.734082e-03
122	4.815410e-03
123	4.897555e-03
124	4.980524e-03
125	5.064322e-03
126	5.148955e-03
127	5.234429e-03
128	5.320751e-03
129	5.407927e-03
130	5.495964e-03
131	5.584868e-03
132	5.674646e-03
133	5.765305e-03
134	5.856851e-03
135	5.949291e-03
136	6.042632e-03
137	6.136881e-03
138	6.232046e-03
139	6.328132e-03
140	6.425146e-03
141	6.523096e-03
142	6.621989e-03
143	6.721830e-03
144	6.822626e-03
145	6.924384e-03
146	7.027110e-03
147	7.130810e-03
148	7.235489e-03
149	7.341154e-03
150	7.447809e-03
151	7.555460e-03
152	7.664112e-03
153	7.773768e-03
154	7.884434e-03
155	7.996113e-03
156	8.108808e-03
157	8.222524e-03
158	8.337261e-03
159	8.453024e-03
160	8.569814e-03
161	8.687631e-03
162	8.806479e-03
163	8.926356e-03
164	9.047265e-03
165	9.169203e-03
166	9.292171e-03
167	9.416168e-03
168	9.541192e-03
169	9.667241e-03
170	9.794313e-03
171	9.922406e-03
172	1.005151e-02
173	1.018164e-02
174	1.031277e-02
175	1.044490e-02
176	1.057804e-02
177	1.071217e-02
178	1.084729e-02
179	1.098340e-02
180	1.112048e-02
181	1.125853e-02
182	1.139754e-02
183	1.153751e-02
184	1.167843e-02
185	1.182029e-02
186	1.196308e-02
187	1.210680e-02
188	1.225143e-02
189	1.239697e-02
190	1.254340e-02
191	1.269073e-02
192	1.283893e-02
193	1.298801e-02
194	1.313794e-02
195	1.328872e-02
196	1.344034e-02
197	1.359279e-02
198	1.374606e-02
199	1.390013e-02
200	1.405500e-02
201	1.421066e-02
202	1.436709e-02
203	1.452428e-02
204	1.468222e-02
205	1.484090e-02
206	1.500030e-02
207	1.516042e-02
208	1.532123e-02
209	1.548274e-02
210	1.564491e-02
211	1.580775e-02
212	1.597124e-02
213	1.613536e-02
214	1.630010e-02
215	1.646544e-02
216	1.663137e-02
217	1.679788e-02
218	1.696494e-02
219	1.713255e-02
220	1.730069e-02
221	1.746933e-02
222	1.763847e-02
223	1.780809e-02
224	1.797817e-02
225	1.814868e-02
226	1.831962e-02
227	1.849097e-02
228	1.866270e-02
229	1.883480e-02
230	1.900725e-02
231	1.918002e-02
232	1.935310e-02
233	1.952647e-02
234	1.970011e-02
235	1.987400e-02
236	2.004811e-02
237	2.022243e-02
238	2.039693e-02
239	2.057159e-02
240	2.074640e-02
241	2.092132e-02
242	2.109634e-02
243	2.127144e-02
244	2.144659e-02
245	2.162178e-02
246	2.179697e-02
247	2.197215e-02
248	2.214730e-02
249	2.232240e-02
250	2.249742e-02
251	2.267234e-02
252	2.284715e-02
253	2.302182e-02
254	2.319632e-02
255	2.337065e-02
256	2.354478e-02
257	2.371869e-02
258	2.389236e-02
259	2.406578e-02
260	2.423891e-02
261	2.441176e-02
262	2.458429e-02
263	2.475649e-02
264	2.492835e-02
265	2.509984e-02
266	2.527095e-02
267	2.544167e-02
268	2.561198e-02
269	2.578186e-02
270	2.595130e-02
271	2.612029e-02
272	2.628881e-02
273	2.645686e-02
274	2.662441e-02
275	2.679146e-02
276	2.695799e-02
277	2.712399e-02
278	2.728946e-02
279	2.745438e-02
280	2.761874e-02
281	2.778253e-02
282	2.794574e-02
283	2.810837e-02
284	2.827041e-02
285	2.843184e-02
286	2.859266e-02
287	2.875286e-02
288	2.891244e-02
289	2.907138e-02
290	2.922969e-02
291	2.938735e-02
292	2.954437e-02
293	2.970072e-02
294	2.985642e-02
295	3.001145e-02
296	3.016580e-02
297	3.031948e-02
298	3.047249e-02
299	3.062480e-02
300	3.077644e-02
301	3.092738e-02
302	3.107763e-02
303	3.122718e-02
304	3.137604e-02
305	3.152420e-02
306	3.167165e-02
307	3.181841e-02
308	3.196446e-02
309	3.210982e-02
310	3.225447e-02
311	3.239842e-02
312	3.254167e-02
313	3.268422e-02
314	3.282607e-02
315	3.296723e-02
316	3.310770e-02
317	3.324749e-02
318	3.338659e-02
319	3.352502e-02
320	3.366277e-02
321	3.379986e-02
322	3.393629e-02
323	3.407206e-02
324	3.420720e-02
325	3.434169e-02
326	3.447556e-02
327	3.460882e-02
328	3.474147e-02
329	3.487352e-02
330	3.500499e-02
331	3.513589e-02
332	3.526623e-02
333	3.539603e-02
334	3.552529e-02
335	3.565404e-02
336	3.578229e-02
337	3.591005e-02
338	3.603734e-02
339	3.616419e-02
340	3.629059e-02
341	3.641658e-02
342	3.654218e-02
343	3.666739e-02
344	3.679224e-02
345	3.691675e-02
346	3.704093e-02
347	3.716482e-02
348	3.728842e-02
349	3.741177e-02
350	3.753487e-02
351	3.765775e-02
352	3.778044e-02
353	3.790295e-02
354	3.802530e-02
355	3.814752e-02
356	3.826963e-02
357	3.839164e-02
358	3.851359e-02
359	3.863549e-02
360	3.875736e-02
361	3.887923e-02
362	3.900112e-02
363	3.912304e-02
364	3.924503e-02
365	3.936709e-02
366	3.948926e-02
367	3.961155e-02
368	3.973398e-02
369	3.985658e-02
370	3.997936e-02
371	4.010234e-02
372	4.022555e-02
373	4.034901e-02
374	4.047272e-02
375	4.059672e-02
376	4.072103e-02
377	4.084565e-02
378	4.097062e-02
379	4.109595e-02
380	4.122165e-02
381	4.134776e-02
382	4.147427e-02
383	4.160123e-02
384	4.172863e-02
385	4.185650e-02
386	4.198486e-02
387	4.211373e-02
388	4.224312e-02
389	4.237305e-02
390	4.250354e-02
391	4.263460e-02
392	4.276626e-02
393	4.289853e-02
394	4.303142e-02
395	4.316495e-02
396	4.329915e-02
397	4.343402e-02
398	4.356958e-02
399	4.370585e-02
400	4.384285e-02
401	4.398058e-02
402	4.411908e-02
403	4.425834e-02
404	4.439839e-02
405	4.453924e-02
406	4.468091e-02
407	4.482341e-02
408	4.496675e-02
409	4.511095e-02
410	4.525602e-02
411	4.540198e-02
412	4.554883e-02
413	4.569659e-02
414	4.584528e-02
415	4.599489e-02
416	4.614545e-02
417	4.629696e-02
418	4.644943e-02
419	4.660287e-02
420	4.675730e-02
421	4.691271e-02
422	4.706911e-02
423	4.722652e-02
424	4.738493e-02
425	4.754436e-02
426	4.770480e-02
427	4.786626e-02
428	4.802874e-02
429	4.819225e-02
430	4.835678e-02
431	4.852234e-02
432	4.868893e-02
433	4.885655e-02
434	4.902518e-02
435	4.919484e-02
436	4.936552e-02
437	4.953722e-02
438	4.970992e-02
439	4.988363e-02
440	5.005833e-02
441	5.023403e-02
442	5.041071e-02
443	5.058837e-02
444	5.076699e-02
445	5.094657e-02
446	5.112709e-02
447	5.130855e-02
448	5.149094e-02
449	5.167423e-02
450	5.185843e-02
451	5.204351e-02
452	5.222947e-02
453	5.241628e-02
454	5.260394e-02
455	5.279242e-02
456	5.298172e-02
457	5.317181e-02
458	5.336269e-02
459	5.355432e-02
460	5.374671e-02
461	5.393982e-02
462	5.413365e-02
463	5.432817e-02
464	5.452336e-02
465	5.471921e-02
466	5.491570e-02
467	5.511280e-02
468	5.531051e-02
469	5.550879e-02
470	5.570763e-02
471	5.590701e-02
472	5.610691e-02
473	5.630731e-02
474	5.650818e-02
475	5.670950e-02
476	5.691126e-02
477	5.711343e-02
478	5.731599e-02
479	5.751892e-02
480	5.772219e-02
481	5.792579e-02
482	5.812968e-02
483	5.833385e-02
484	5.853827e-02
485	5.874292e-02
486	5.894777e-02
487	5.915280e-02
488	5.935798e-02
489	5.956329e-02
490	5.976871e-02
491	5.997420e-02
492	6.017975e-02
493	6.038532e-02
494	6.059088e-02
495	6.079642e-02
496	6.100191e-02
497	6.120730e-02
498	6.141259e-02
499	6.161774e-02
500	6.182272e-02
501	6.202750e-02
502	6.223206e-02
503	6.243636e-02
504	6.264038e-02
505	6.284409e-02
506	6.304745e-02
507	6.325044e-02
508	6.345303e-02
509	6.365519e-02
510	6.385689e-02
511	6.405809e-02
512	6.425878e-02
513	6.445891e-02
514	6.465846e-02
515	6.485740e-02
516	6.505570e-02
517	6.525334e-02
518	6.545027e-02
519	6.564648e-02
520	6.584193e-02
521	6.603660e-02
522	6.623046e-02
523	6.642347e-02
524	6.661562e-02
525	6.680688e-02
526	6.699721e-02
527	6.718660e-02
528	6.737502e-02
529	6.756244e-02
530	6.774884e-02
531	6.793419e-02
532	6.811847e-02
533	6.830167e-02
534	6.848374e-02
535	6.866468e-02
536	6.884447e-02
537	6.902307e-02
538	6.920048e-02
539	6.937667e-02
540	6.955162e-02
541	6.972532e-02
542	6.989775e-02
543	7.006888e-02
544	7.023872e-02
545	7.040723e-02
546	7.057440e-02
547	7.074023e-02
548	7.090469e-02
549	7.106777e-02
550	7.122946e-02
551	7.138975e-02
552	7.154863e-02
553	7.170607e-02
554	7.186209e-02
555	7.201665e-02
556	7.216976e-02
557	7.232141e-02
558	7.247158e-02
559	7.262027e-02
560	7.276747e-02
561	7.291317e-02
562	7.305737e-02
563	7.320006e-02
564	7.334124e-02
565	7.348090e-02
566	7.361903e-02
567	7.375563e-02
568	7.389070e-02
569	7.402424e-02
570	7.415623e-02
571	7.428669e-02
572	7.441560e-02
573	7.454297e-02
574	7.466879e-02
575	7.479307e-02
576	7.491580e-02
577	7.503698e-02
578	7.515662e-02
579	7.527472e-02
580	7.539128e-02
581	7.550630e-02
582	7.561979e-02
583	7.573175e-02
584	7.584218e-02
585	7.595110e-02
586	7.605850e-02
587	7.616439e-02
588	7.626879e-02
589	7.637169e-02
590	7.647311e-02
591	7.657306e-02
592	7.667154e-02
593	7.676856e-02
594	7.686415e-02
595	7.695831e-02
596	7.705104e-02
597	7.714238e-02
598	7.723232e-02
599	7.732089e-02
600	7.740811e-02
601	7.749398e-02
602	7.757852e-02
603	7.766176e-02
604	7.774370e-02
605	7.782438e-02
606	7.790381e-02
607	7.798200e-02
608	7.805899e-02
609	7.813479e-02
610	7.820942e-02
611	7.828291e-02
612	7.835529e-02
613	7.842656e-02
614	7.849677e-02
615	7.856592e-02
616	7.863406e-02
617	7.870120e-02
618	7.876737e-02
619	7.883260e-02
620	7.889691e-02
621	7.896033e-02
622	7.902288e-02
623	7.908461e-02
624	7.914552e-02
625	7.920565e-02
626	7.926504e-02
627	7.932370e-02
628	7.938166e-02
629	7.943896e-02
630	7.949562e-02
631	7.955167e-02
632	7.960714e-02
633	7.966206e-02
634	7.971646e-02
635	7.977036e-02
636	7.982380e-02
637	7.987679e-02
638	7.992938e-02
639	7.998159e-02
640	8.003345e-02
641	8.008499e-02
642	8.013623e-02
643	8.018720e-02
644	8.023794e-02
645	8.028846e-02
646	8.033880e-02
647	8.038898e-02
648	8.043904e-02
649	8.048900e-02
650	8.053888e-02
651	8.058872e-02
652	8.063853e-02
653	8.068836e-02
654	8.073822e-02
655	8.078815e-02
656	8.083816e-02
657	8.088828e-02
658	8.093855e-02
659	8.098899e-02
660	8.103962e-02
661	8.109046e-02
662	8.114156e-02
663	8.119292e-02
664	8.124458e-02
665	8.129657e-02
666	8.134890e-02
667	8.140160e-02
668	8.145470e-02
669	8.150822e-02
670	8.156219e-02
671	8.161664e-02
672	8.167157e-02
673	8.172703e-02
674	8.178303e-02
675	8.183959e-02
676	8.189675e-02
677	8.195451e-02
678	8.201291e-02
679	8.207197e-02
680	8.213171e-02
681	8.219215e-02
682	8.225330e-02
683	8.231520e-02
684	8.237787e-02
685	8.244131e-02
686	8.250555e-02
687	8.257062e-02
688	8.263652e-02
689	8.270328e-02
690	8.277091e-02
691	8.283943e-02
692	8.290885e-02
693	8.297919e-02
694	8.305047e-02
695	8.312269e-02
696	8.319588e-02
697	8.327004e-02
698	8.334519e-02
699	8.342133e-02
700	8.349848e-02
701	8.357664e-02
702	8.365584e-02
703	8.373606e-02
704	8.381733e-02
705	8.389964e-02
706	8.398300e-02
707	8.406743e-02
708	8.415291e-02
709	8.423946e-02
710	8.432708e-02
711	8.441577e-02
712	8.450552e-02
713	8.459636e-02
714	8.468826e-02
715	8.478123e-02
716	8.487527e-02
717	8.497037e-02
718	8.506654e-02
719	8.516377e-02
720	8.526205e-02
721	8.536138e-02
722	8.546175e-02
723	8.556316e-02
724	8.566560e-02
725	8.576906e-02
726	8.587354e-02
727	8.597902e-02
728	8.608549e-02
729	8.619296e-02
730	8.630139e-02
731	8.641079e-02
732	8.652115e-02
733	8.663244e-02
734	8.674467e-02
735	8.685781e-02
736	8.697185e-02
737	8.708678e-02
738	8.720258e-02
739	8.731925e-02
740	8.743676e-02
741	8.755510e-02
742	8.767425e-02
743	8.779420e-02
744	8.791494e-02
745	8.803643e-02
746	8.815867e-02
747	8.828164e-02
748	8.840532e-02
749	8.852969e-02
750	8.865473e-02
751	8.878042e-02
752	8.890674e-02
753	8.903368e-02
754	8.916121e-02
755	8.928930e-02
756	8.941795e-02
757	8.954712e-02
758	8.967680e-02
759	8.980695e-02
760	8.993756e-02
761	9.006861e-02
762	9.020007e-02
763	9.033191e-02
764	9.046411e-02
765	9.059664e-02
766	9.072949e-02
767	9.086262e-02
768	9.099600e-02
769	9.112961e-02
770	9.126343e-02
771	9.139742e-02
772	9.153155e-02
773	9.166581e-02
774	9.180015e-02
775	9.193455e-02
776	9.206899e-02
777	9.220343e-02
778	9.233784e-02
779	9.247219e-02
780	9.260645e-02
781	9.274060e-02
782	9.287459e-02
783	9.300841e-02
784	9.314201e-02
785	9.327538e-02
786	9.340847e-02
787	9.354126e-02
788	9.367371e-02
789	9.380580e-02
790	9.393749e-02
791	9.406875e-02
792	9.419955e-02
793	9.432986e-02
794	9.445965e-02
795	9.458889e-02
796	9.471755e-02
797	9.484559e-02
798	9.497300e-02
799	9.509973e-02
800	9.522575e-02
801	9.535105e-02
802	9.547559e-02
803	9.559934e-02
804	9.572227e-02
805	9.584435e-02
806	9.596556e-02
807	9.608587e-02
808	9.620525e-02
809	9.632368e-02
