#Results from experiments with detections of B-mode power, l(l+1)C_l/2pi, in uK^2.
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
BICEP2             ,       21 ,      45.1 ,        55 ,       0.0087 ,       0.0019 ,       0.0019 ,             
BICEP2             ,       56 ,      73.9 ,        90 ,       0.0133 ,       0.0017 ,       0.0017 ,             
BICEP2             ,       91 ,     109.1 ,       125 ,       0.0150 ,       0.0025 ,       0.0025 ,             
BICEP2             ,      126 ,     144.2 ,       160 ,       0.0139 ,       0.0037 ,       0.0037 ,             
BICEP2             ,      161 ,     179.1 ,       195 ,       0.0206 ,       0.0056 ,       0.0056 ,             
BICEP2             ,      196 ,     213.7 ,       230 ,       0.0337 ,       0.0084 ,       0.0084 ,             
BICEP2             ,      231 ,     248.4 ,       265 ,       0.0507 ,       0.0113 ,       0.0113 ,             
BICEP2             ,      266 ,     283.1 ,       300 ,       0.0335 ,       0.0174 ,       0.0174 ,             
BICEP2             ,      301 ,     317.4 ,       335 ,       0.0326 ,       0.0279 ,       0.0279 ,             
BICEP2+Keck        ,       37 ,      46.5 ,        54 ,       0.0000 ,       0.0000 ,       0.0026 ,             
BICEP2+Keck        ,       60 ,      73.6 ,        86 ,       0.0014 ,       0.0013 ,       0.0015 ,             
BICEP2+Keck        ,       93 ,     107.4 ,       121 ,       0.0064 ,       0.0022 ,       0.0026 ,             
BICEP2+Keck        ,      126 ,     141.0 ,       156 ,       0.0084 ,       0.0027 ,       0.0030 ,             
BICEP2+Keck        ,      158 ,     173.8 ,       192 ,       0.0130 ,       0.0041 ,       0.0043 ,             
BICEP2+Keck        ,      190 ,     205.5 ,       227 ,       0.0202 ,       0.0046 ,       0.0051 ,             
BICEP2+Keck        ,      221 ,     237.3 ,       262 ,       0.0209 ,       0.0061 ,       0.0064 ,             
BICEP2+Keck        ,      254 ,     270.3 ,       297 ,       0.0360 ,       0.0081 ,       0.0088 ,             
BICEP2+Keck        ,      286 ,     303.1 ,       332 ,       0.0338 ,       0.0112 ,       0.0117 ,             
BICEP2+Keck/Planck ,       21 ,      45.3 ,        55 ,      -0.0012 ,       0.0036 ,       0.0036 ,             
BICEP2+Keck/Planck ,       56 ,      74.2 ,        90 ,       0.0033 ,       0.0027 ,       0.0027 ,             
BICEP2+Keck/Planck ,       91 ,     109.2 ,       125 ,       0.0070 ,       0.0031 ,       0.0031 ,             
BICEP2+Keck/Planck ,      126 ,     144.3 ,       160 ,       0.0091 ,       0.0039 ,       0.0039 ,             
BICEP2+Keck/Planck ,      161 ,     179.1 ,       195 ,       0.0158 ,       0.0054 ,       0.0054 ,             
BICEP2+Keck/Planck ,      196 ,     213.7 ,       230 ,       0.0255 ,       0.0075 ,       0.0075 ,             
BICEP2+Keck/Planck ,      231 ,     248.4 ,       265 ,       0.0206 ,       0.0094 ,       0.0094 ,             
BICEP2+Keck/Planck ,      266 ,     283.0 ,       300 ,       0.0385 ,       0.0133 ,       0.0133 ,             
BICEP2+Keck/Planck ,      301 ,     317.2 ,       335 ,       0.0510 ,       0.0184 ,       0.0184 ,             
POLARBEAR_2017     ,      500 ,     700.0 ,       900 ,       0.0530 ,       0.0260 ,       0.0290 ,             
POLARBEAR_2017     ,      900 ,    1100.0 ,      1300 ,       0.0740 ,       0.0540 ,       0.0570 ,             
POLARBEAR_2017     ,     1300 ,    1500.0 ,      1700 ,       0.0450 ,       0.1090 ,       0.1160 ,             
POLARBEAR_2017     ,     1700 ,    1900.0 ,      2100 ,       0.3520 ,       0.2390 ,       0.2600 ,             
POLARBEAR_2019     ,      350 ,     374.9 ,       400 ,       0.3731 ,       0.1236 ,       0.1236 ,
SPTpol             ,      152 ,     227.0 ,       301 ,       0.0300 ,       0.0100 ,       0.0100 ,             
SPTpol             ,      302 ,     502.0 ,       701 ,       0.0940 ,       0.0100 ,       0.0100 ,             
SPTpol             ,      702 ,     902.0 ,      1101 ,       0.1180 ,       0.0160 ,       0.0160 ,             
SPTpol             ,     1102 ,    1302.0 ,      1501 ,       0.0970 ,       0.0260 ,       0.0260 ,             
SPTpol             ,     1502 ,    1702.0 ,      1901 ,       0.1190 ,       0.0420 ,       0.0420 ,             
#
#
#95% confidence upper limits on B-mode power, l(l+1)C_l/2pi, in uK^2.
#
#   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
ABS                ,       41 ,      55.0 ,        70 ,              ,              ,              ,        0.180
ABS                ,       71 ,      85.5 ,       100 ,              ,              ,              ,        0.173
ABS                ,      101 ,     115.5 ,       130 ,              ,              ,              ,        0.384
ABS                ,      131 ,     145.5 ,       160 ,              ,              ,              ,        0.593
ABS                ,      161 ,     175.5 ,       190 ,              ,              ,              ,        0.922
ABS                ,      191 ,     205.5 ,       220 ,              ,              ,              ,        0.903
ABS                ,      221 ,     235.5 ,       250 ,              ,              ,              ,        1.197
ABS                ,      251 ,     265.5 ,       280 ,              ,              ,              ,        1.971
ABS                ,      281 ,     295.5 ,       310 ,              ,              ,              ,        3.791
ABS                ,      311 ,     325.5 ,       340 ,              ,              ,              ,       10.118
ABS                ,      341 ,     355.5 ,       370 ,              ,              ,              ,        8.034
ABS                ,      371 ,     385.5 ,       400 ,              ,              ,              ,       11.356
ABS                ,      401 ,     415.5 ,       430 ,              ,              ,              ,       16.667
ACTPol             ,      300 ,     475.0 ,       650 ,              ,              ,              ,        0.175
ACTPol             ,      651 ,     825.5 ,      1000 ,              ,              ,              ,        0.159
ACTPol             ,     1001 ,    1200.5 ,      1400 ,              ,              ,              ,        0.247
ACTPol             ,     1401 ,    2100.5 ,      2800 ,              ,              ,              ,        0.163
ACTPol             ,     2801 ,    3400.5 ,      4000 ,              ,              ,              ,        0.427
BICEP1             ,       21 ,      38.0 ,        55 ,              ,              ,              ,        0.083
BICEP1             ,       56 ,      73.0 ,        90 ,              ,              ,              ,        0.056
BICEP1             ,       91 ,     108.0 ,       125 ,              ,              ,              ,        0.118
BICEP1             ,      126 ,     143.0 ,       160 ,              ,              ,              ,        0.080
BICEP1             ,      161 ,     178.0 ,       195 ,              ,              ,              ,        0.175
BICEP1             ,      196 ,     213.0 ,       230 ,              ,              ,              ,        0.326
BICEP1             ,      231 ,     248.0 ,       265 ,              ,              ,              ,        0.598
