#Measurements of the EE power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
ACTPol_2020        ,          ,     350.5 ,           ,      18.0680 ,       0.7780 ,       0.7780 ,             
ACTPol_2020        ,          ,     400.5 ,           ,      23.2320 ,       0.8440 ,       0.8440 ,             
ACTPol_2020        ,          ,     450.5 ,           ,      17.4840 ,       0.6800 ,       0.6800 ,             
ACTPol_2020        ,          ,     500.5 ,           ,       8.5430 ,       0.4450 ,       0.4450 ,             
ACTPol_2020        ,          ,     550.5 ,           ,       8.3160 ,       0.4510 ,       0.4510 ,             
ACTPol_2020        ,          ,     600.5 ,           ,      19.0210 ,       0.7290 ,       0.7290 ,             
ACTPol_2020        ,          ,     650.5 ,           ,      32.3840 ,       0.9980 ,       0.9980 ,             
ACTPol_2020        ,          ,     700.5 ,           ,      39.1120 ,       1.0940 ,       1.0940 ,             
ACTPol_2020        ,          ,     750.5 ,           ,      29.2140 ,       0.8990 ,       0.8990 ,             
ACTPol_2020        ,          ,     800.5 ,           ,      16.4580 ,       0.6270 ,       0.6270 ,             
ACTPol_2020        ,          ,     850.5 ,           ,      12.9580 ,       0.6030 ,       0.6030 ,             
ACTPol_2020        ,          ,     900.5 ,           ,      25.3600 ,       0.8390 ,       0.8390 ,             
ACTPol_2020        ,          ,     950.5 ,           ,      39.7390 ,       1.0940 ,       1.0940 ,             
ACTPol_2020        ,          ,    1000.5 ,           ,      43.3430 ,       1.1860 ,       1.1860 ,             
ACTPol_2020        ,          ,    1050.5 ,           ,      31.9700 ,       1.0480 ,       1.0480 ,             
ACTPol_2020        ,          ,    1100.5 ,           ,      19.5980 ,       0.7800 ,       0.7800 ,             
ACTPol_2020        ,          ,    1150.5 ,           ,      13.2940 ,       0.6360 ,       0.6360 ,             
ACTPol_2020        ,          ,    1200.5 ,           ,      17.1980 ,       0.7720 ,       0.7720 ,             
ACTPol_2020        ,          ,    1250.5 ,           ,      27.2350 ,       0.9390 ,       0.9390 ,             
ACTPol_2020        ,          ,    1300.5 ,           ,      31.1590 ,       1.0120 ,       1.0120 ,             
ACTPol_2020        ,          ,    1350.5 ,           ,      26.4710 ,       0.9470 ,       0.9470 ,             
ACTPol_2020        ,          ,    1400.5 ,           ,      17.8360 ,       0.7730 ,       0.7730 ,             
ACTPol_2020        ,          ,    1450.5 ,           ,      12.0940 ,       0.6920 ,       0.6920 ,             
ACTPol_2020        ,          ,    1500.5 ,           ,      12.8350 ,       0.7200 ,       0.7200 ,             
ACTPol_2020        ,          ,    1550.5 ,           ,      17.9140 ,       0.8230 ,       0.8230 ,             
ACTPol_2020        ,          ,    1600.5 ,           ,      20.4710 ,       0.9020 ,       0.9020 ,             
ACTPol_2020        ,          ,    1650.5 ,           ,      19.0920 ,       0.8640 ,       0.8640 ,             
ACTPol_2020        ,          ,    1700.5 ,           ,      13.7670 ,       0.7940 ,       0.7940 ,             
ACTPol_2020        ,          ,    1750.5 ,           ,       9.2470 ,       0.7040 ,       0.7040 ,             
ACTPol_2020        ,          ,    1800.5 ,           ,       8.1050 ,       0.6790 ,       0.6790 ,             
ACTPol_2020        ,          ,    1850.5 ,           ,       9.4670 ,       0.7270 ,       0.7270 ,             
ACTPol_2020        ,          ,    1900.5 ,           ,      12.6270 ,       0.7650 ,       0.7650 ,             
ACTPol_2020        ,          ,    1950.5 ,           ,      10.4600 ,       0.8100 ,       0.8100 ,             
ACTPol_2020        ,          ,    2000.5 ,           ,       8.1740 ,       0.7780 ,       0.7780 ,             
ACTPol_2020        ,          ,    2075.5 ,           ,       5.8880 ,       0.4920 ,       0.4920 ,             
ACTPol_2020        ,          ,    2175.5 ,           ,       4.9260 ,       0.5090 ,       0.5090 ,             
ACTPol_2020        ,          ,    2275.5 ,           ,       5.8390 ,       0.5350 ,       0.5350 ,             
ACTPol_2020        ,          ,    2375.5 ,           ,       3.4810 ,       0.5410 ,       0.5410 ,             
ACTPol_2020        ,          ,    2475.5 ,           ,       2.6410 ,       0.5400 ,       0.5400 ,             
ACTPol_2020        ,          ,    2625.5 ,           ,       2.0000 ,       0.4230 ,       0.4230 ,             
ACTPol_2020        ,          ,    2825.5 ,           ,       2.1120 ,       0.4570 ,       0.4570 ,             
ACTPol_2020        ,          ,    3025.5 ,           ,       0.4010 ,       0.5350 ,       0.5350 ,             
ACTPol_2020        ,          ,    3325.5 ,           ,      -0.7800 ,       0.4420 ,       0.4420 ,             
ACTPol_2020        ,          ,    3725.5 ,           ,      -0.2410 ,       0.6000 ,       0.6000 ,             
ACTPol_2020        ,          ,    4125.5 ,           ,      -0.2110 ,       0.7680 ,       0.7680 ,             
BICEP2/Keck_2015   ,          ,      45.3 ,           ,       0.1450 ,       0.0380 ,       0.0380 ,             
BICEP2/Keck_2015   ,          ,      74.2 ,           ,       0.5180 ,       0.0790 ,       0.0790 ,             
BICEP2/Keck_2015   ,          ,     109.2 ,           ,       0.9040 ,       0.1400 ,       0.1400 ,             
