#Measurements of the TE power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
ACTPol_2016        ,          ,     350.0 ,           ,      85.4500 ,      19.0900 ,      19.0900 ,             
ACTPol_2016        ,          ,     400.0 ,           ,      -9.4400 ,      15.6700 ,      15.6700 ,             
ACTPol_2016        ,          ,     450.0 ,           ,     -65.7300 ,      14.1600 ,      14.1600 ,             
ACTPol_2016        ,          ,     500.0 ,           ,     -43.8900 ,      12.5500 ,      12.5500 ,             
ACTPol_2016        ,          ,     550.0 ,           ,      16.6500 ,      11.8800 ,      11.8800 ,             
ACTPol_2016        ,          ,     600.0 ,           ,      32.5700 ,      13.6000 ,      13.6000 ,             
ACTPol_2016        ,          ,     650.0 ,           ,     -16.8300 ,      14.8900 ,      14.8900 ,             
ACTPol_2016        ,          ,     700.0 ,           ,     -76.5800 ,      14.7200 ,      14.7200 ,             
ACTPol_2016        ,          ,     750.0 ,           ,    -142.7200 ,      14.4000 ,      14.4000 ,             
ACTPol_2016        ,          ,     800.0 ,           ,     -79.9600 ,      11.3700 ,      11.3700 ,             
ACTPol_2016        ,          ,     850.0 ,           ,     -13.0400 ,      10.7600 ,      10.7600 ,             
ACTPol_2016        ,          ,     900.0 ,           ,      47.2600 ,      10.4600 ,      10.4600 ,             
ACTPol_2016        ,          ,     950.0 ,           ,      40.6700 ,      10.7600 ,      10.7600 ,             
ACTPol_2016        ,          ,    1000.0 ,           ,     -24.7100 ,       9.8500 ,       9.8500 ,             
ACTPol_2016        ,          ,    1050.0 ,           ,     -69.5800 ,       9.0700 ,       9.0700 ,             
ACTPol_2016        ,          ,    1100.0 ,           ,     -78.7600 ,       8.5000 ,       8.5000 ,             
ACTPol_2016        ,          ,    1150.0 ,           ,     -32.9900 ,       7.2200 ,       7.2200 ,             
ACTPol_2016        ,          ,    1200.0 ,           ,       7.4200 ,       7.1700 ,       7.1700 ,             
ACTPol_2016        ,          ,    1250.0 ,           ,     -21.5400 ,       7.0800 ,       7.0800 ,             
ACTPol_2016        ,          ,    1300.0 ,           ,     -37.2900 ,       7.1400 ,       7.1400 ,             
ACTPol_2016        ,          ,    1350.0 ,           ,     -71.0900 ,       6.8500 ,       6.8500 ,             
ACTPol_2016        ,          ,    1400.0 ,           ,     -45.5700 ,       6.2500 ,       6.2500 ,             
ACTPol_2016        ,          ,    1450.0 ,           ,     -31.3600 ,       5.7400 ,       5.7400 ,             
ACTPol_2016        ,          ,    1500.0 ,           ,      -3.5900 ,       5.1300 ,       5.1300 ,             
ACTPol_2016        ,          ,    1550.0 ,           ,      -1.4400 ,       5.1200 ,       5.1200 ,             
ACTPol_2016        ,          ,    1600.0 ,           ,      -9.4200 ,       4.9000 ,       4.9000 ,             
ACTPol_2016        ,          ,    1650.0 ,           ,     -21.9900 ,       4.6000 ,       4.6000 ,             
ACTPol_2016        ,          ,    1700.0 ,           ,     -31.5400 ,       4.2200 ,       4.2200 ,             
ACTPol_2016        ,          ,    1750.0 ,           ,     -16.6000 ,       3.9300 ,       3.9300 ,             
ACTPol_2016        ,          ,    1800.0 ,           ,      -9.7800 ,       3.7700 ,       3.7700 ,             
ACTPol_2016        ,          ,    1850.0 ,           ,      -7.2100 ,       3.7400 ,       3.7400 ,             
ACTPol_2016        ,          ,    1900.0 ,           ,     -16.6600 ,       3.7500 ,       3.7500 ,             
ACTPol_2016        ,          ,    1950.0 ,           ,     -22.8400 ,       3.4800 ,       3.4800 ,             
ACTPol_2016        ,          ,    2000.0 ,           ,     -15.2400 ,       3.4700 ,       3.4700 ,             
ACTPol_2016        ,          ,    2075.0 ,           ,     -14.2900 ,       2.2400 ,       2.2400 ,             
ACTPol_2016        ,          ,    2175.0 ,           ,      -5.1000 ,       2.0400 ,       2.0400 ,             
ACTPol_2016        ,          ,    2275.0 ,           ,      -5.4400 ,       1.9600 ,       1.9600 ,             
ACTPol_2016        ,          ,    2375.0 ,           ,      -9.0100 ,       1.8400 ,       1.8400 ,             
ACTPol_2016        ,          ,    2475.0 ,           ,      -0.2200 ,       1.7300 ,       1.7300 ,             
ACTPol_2016        ,          ,    2625.0 ,           ,      -3.5600 ,       1.1800 ,       1.1800 ,             
ACTPol_2016        ,          ,    2825.0 ,           ,      -1.7900 ,       1.0800 ,       1.0800 ,             
ACTPol_2016        ,          ,    3025.0 ,           ,      -2.4500 ,       1.1400 ,       1.1400 ,             
ACTPol_2016        ,          ,    3325.0 ,           ,       1.4000 ,       0.8500 ,       0.8500 ,             
ACTPol_2016        ,          ,    3725.0 ,           ,      -1.4400 ,       0.9300 ,       0.9300 ,             
ACTPol_2016        ,          ,    4125.0 ,           ,       0.4900 ,       1.1500 ,       1.1500 ,             
BICEP2/Keck_2015   ,          ,      45.3 ,           ,       3.1700 ,       2.3900 ,       2.3900 ,             
BICEP2/Keck_2015   ,          ,      74.2 ,           ,      -5.1500 ,       3.1600 ,       3.1600 ,             
BICEP2/Keck_2015   ,          ,     109.2 ,           ,     -31.0000 ,       5.2700 ,       5.2700 ,             
BICEP2/Keck_2015   ,          ,     144.3 ,           ,     -49.4000 ,       5.7400 ,       5.7400 ,             
BICEP2/Keck_2015   ,          ,     179.1 ,           ,     -26.7000 ,       5.3100 ,       5.3100 ,             
BICEP2/Keck_2015   ,          ,     213.7 ,           ,      17.1000 ,       5.7600 ,       5.7600 ,             
BICEP2/Keck_2015   ,          ,     248.4 ,           ,      56.8000 ,       7.0500 ,       7.0500 ,             
BICEP2/Keck_2015   ,          ,     283.0 ,           ,     111.0000 ,       8.4400 ,       8.4400 ,             
BICEP2/Keck_2015   ,          ,     317.2 ,           ,     145.0000 ,      11.3000 ,      11.3000 ,             
Planck_2018        ,          ,       2.0 ,           ,       2.9600 ,       4.0300 ,       4.0300 ,             
Planck_2018        ,          ,       3.0 ,           ,      -2.7900 ,       3.1300 ,       3.1300 ,             
Planck_2018        ,          ,       4.0 ,           ,       1.9900 ,       2.5200 ,       2.5200 ,             
Planck_2018        ,          ,       5.0 ,           ,       3.5800 ,       1.8700 ,       1.8700 ,             
Planck_2018        ,          ,       6.0 ,           ,       0.4600 ,       1.6800 ,       1.6800 ,             
Planck_2018        ,          ,       7.0 ,           ,       2.5000 ,       1.3400 ,       1.3400 ,             
Planck_2018        ,          ,       8.0 ,           ,       0.6800 ,       1.1900 ,       1.1900 ,             
Planck_2018        ,          ,       9.0 ,           ,       2.3200 ,       1.3100 ,       1.3100 ,             
Planck_2018        ,          ,      10.0 ,           ,      -0.0200 ,       1.1000 ,       1.1000 ,             
Planck_2018        ,          ,      11.0 ,           ,       1.1800 ,       1.0100 ,       1.0100 ,             
Planck_2018        ,          ,      12.0 ,           ,       1.4800 ,       1.0800 ,       1.0800 ,             
Planck_2018        ,          ,      13.0 ,           ,       0.6300 ,       1.0900 ,       1.0900 ,             
Planck_2018        ,          ,      14.0 ,           ,       0.6000 ,       1.1200 ,       1.1200 ,             
Planck_2018        ,          ,      15.0 ,           ,       0.8800 ,       1.1100 ,       1.1100 ,             
Planck_2018        ,          ,      16.0 ,           ,       0.6500 ,       1.1600 ,       1.1600 ,             
Planck_2018        ,          ,      17.0 ,           ,       2.0000 ,       1.1100 ,       1.1100 ,             
Planck_2018        ,          ,      18.0 ,           ,      -1.4900 ,       1.3400 ,       1.3400 ,             
Planck_2018        ,          ,      19.0 ,           ,      -2.1300 ,       1.2200 ,       1.2200 ,             
Planck_2018        ,          ,      20.0 ,           ,       1.3400 ,       1.2200 ,       1.2200 ,             
Planck_2018        ,          ,      21.0 ,           ,       1.1300 ,       1.3400 ,       1.3400 ,             
Planck_2018        ,          ,      22.0 ,           ,       0.1900 ,       1.3300 ,       1.3300 ,             
Planck_2018        ,          ,      23.0 ,           ,       1.8600 ,       1.4100 ,       1.4100 ,             
Planck_2018        ,          ,      24.0 ,           ,       0.4300 ,       1.3700 ,       1.3700 ,             
Planck_2018        ,          ,      25.0 ,           ,       3.4500 ,       1.4400 ,       1.4400 ,             
Planck_2018        ,          ,      26.0 ,           ,       3.5800 ,       1.4700 ,       1.4700 ,             
Planck_2018        ,          ,      27.0 ,           ,       1.6200 ,       1.5600 ,       1.5600 ,             
Planck_2018        ,          ,      28.0 ,           ,       4.1600 ,       1.6000 ,       1.6000 ,             
Planck_2018        ,          ,      29.0 ,           ,       1.9000 ,       1.6300 ,       1.6300 ,             
Planck_2018        ,          ,      47.7 ,           ,       0.7400 ,       0.6600 ,       0.6600 ,             
Planck_2018        ,          ,      76.5 ,           ,      -7.7700 ,       0.8400 ,       0.8400 ,             
Planck_2018        ,          ,     105.9 ,           ,     -27.4000 ,       1.1600 ,       1.1600 ,             
Planck_2018        ,          ,     135.6 ,           ,     -41.7300 ,       1.4200 ,       1.4200 ,             
Planck_2018        ,          ,     165.4 ,           ,     -46.6800 ,       1.4900 ,       1.4900 ,             
Planck_2018        ,          ,     195.3 ,           ,     -19.4600 ,       1.4600 ,       1.4600 ,             
Planck_2018        ,          ,     225.2 ,           ,      21.7400 ,       1.6000 ,       1.6000 ,             
Planck_2018        ,          ,     255.1 ,           ,      68.2600 ,       1.9800 ,       1.9800 ,             
Planck_2018        ,          ,     285.0 ,           ,     107.7300 ,       2.3500 ,       2.3500 ,             
Planck_2018        ,          ,     315.0 ,           ,     119.3800 ,       2.4900 ,       2.4900 ,             
Planck_2018        ,          ,     344.9 ,           ,      92.9400 ,       2.3600 ,       2.3600 ,             
Planck_2018        ,          ,     374.9 ,           ,      47.1500 ,       2.0900 ,       2.0900 ,             
Planck_2018        ,          ,     404.9 ,           ,      -8.1600 ,       1.9100 ,       1.9100 ,             
Planck_2018        ,          ,     434.8 ,           ,     -55.0700 ,       1.8800 ,       1.8800 ,             
Planck_2018        ,          ,     464.8 ,           ,     -76.2100 ,       1.8700 ,       1.8700 ,             
Planck_2018        ,          ,     494.8 ,           ,     -64.1700 ,       1.7900 ,       1.7900 ,             
Planck_2018        ,          ,     524.8 ,           ,     -31.2100 ,       1.6700 ,       1.6700 ,             
