#Measurements of the TE power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
ACTPol_2020        ,          ,     350.5 ,           ,      83.5100 ,       7.4400 ,       7.4400 ,             
ACTPol_2020        ,          ,     400.5 ,           ,      -8.7000 ,       6.2000 ,       6.2000 ,             
ACTPol_2020        ,          ,     450.5 ,           ,     -74.8400 ,       5.9700 ,       5.9700 ,             
ACTPol_2020        ,          ,     500.5 ,           ,     -53.7700 ,       5.1700 ,       5.1700 ,             
ACTPol_2020        ,          ,     550.5 ,           ,       2.4600 ,       5.1900 ,       5.1900 ,             
ACTPol_2020        ,          ,     600.5 ,           ,      29.3600 ,       4.6100 ,       4.6100 ,             
ACTPol_2020        ,          ,     650.5 ,           ,     -27.7700 ,       4.9100 ,       4.9100 ,             
ACTPol_2020        ,          ,     700.5 ,           ,     -99.8700 ,       5.1500 ,       5.1500 ,             
ACTPol_2020        ,          ,     750.5 ,           ,    -138.1700 ,       4.8300 ,       4.8300 ,             
ACTPol_2020        ,          ,     800.5 ,           ,     -91.5200 ,       4.1600 ,       4.1600 ,             
ACTPol_2020        ,          ,     850.5 ,           ,       3.2600 ,       3.9100 ,       3.9100 ,             
ACTPol_2020        ,          ,     900.5 ,           ,      57.5200 ,       3.9700 ,       3.9700 ,             
ACTPol_2020        ,          ,     950.5 ,           ,      38.5500 ,       3.8500 ,       3.8500 ,             
ACTPol_2020        ,          ,    1000.5 ,           ,     -29.2200 ,       3.7400 ,       3.7400 ,             
ACTPol_2020        ,          ,    1050.5 ,           ,     -72.9400 ,       3.5000 ,       3.5000 ,             
ACTPol_2020        ,          ,    1100.5 ,           ,     -73.4300 ,       3.1300 ,       3.1300 ,             
ACTPol_2020        ,          ,    1150.5 ,           ,     -26.7500 ,       2.8800 ,       2.8800 ,             
ACTPol_2020        ,          ,    1200.5 ,           ,       4.4100 ,       2.8600 ,       2.8600 ,             
ACTPol_2020        ,          ,    1250.5 ,           ,      -3.9300 ,       2.8800 ,       2.8800 ,             
ACTPol_2020        ,          ,    1300.5 ,           ,     -37.7700 ,       2.7100 ,       2.7100 ,             
ACTPol_2020        ,          ,    1350.5 ,           ,     -59.5500 ,       2.7100 ,       2.7100 ,             
ACTPol_2020        ,          ,    1400.5 ,           ,     -57.0000 ,       2.5600 ,       2.5600 ,             
ACTPol_2020        ,          ,    1450.5 ,           ,     -28.6800 ,       2.3400 ,       2.3400 ,             
ACTPol_2020        ,          ,    1500.5 ,           ,      -0.3100 ,       2.2800 ,       2.2800 ,             
ACTPol_2020        ,          ,    1550.5 ,           ,       5.2100 ,       2.1300 ,       2.1300 ,             
ACTPol_2020        ,          ,    1600.5 ,           ,     -10.3900 ,       2.1100 ,       2.1100 ,             
ACTPol_2020        ,          ,    1650.5 ,           ,     -27.0200 ,       2.0500 ,       2.0500 ,             
ACTPol_2020        ,          ,    1700.5 ,           ,     -31.4000 ,       1.9000 ,       1.9000 ,             
ACTPol_2020        ,          ,    1750.5 ,           ,     -21.3100 ,       1.8000 ,       1.8000 ,             
ACTPol_2020        ,          ,    1800.5 ,           ,     -10.8200 ,       1.7000 ,       1.7000 ,             
ACTPol_2020        ,          ,    1850.5 ,           ,      -3.8800 ,       1.6700 ,       1.6700 ,             
ACTPol_2020        ,          ,    1900.5 ,           ,     -12.0400 ,       1.6000 ,       1.6000 ,             
ACTPol_2020        ,          ,    1950.5 ,           ,     -20.5800 ,       1.5600 ,       1.5600 ,             
ACTPol_2020        ,          ,    2000.5 ,           ,     -17.7000 ,       1.5100 ,       1.5100 ,             
ACTPol_2020        ,          ,    2075.5 ,           ,     -11.6700 ,       1.0100 ,       1.0100 ,             
ACTPol_2020        ,          ,    2175.5 ,           ,      -3.4400 ,       0.8800 ,       0.8800 ,             
ACTPol_2020        ,          ,    2275.5 ,           ,      -8.1600 ,       0.8600 ,       0.8600 ,             
ACTPol_2020        ,          ,    2375.5 ,           ,      -7.6700 ,       0.8400 ,       0.8400 ,             
ACTPol_2020        ,          ,    2475.5 ,           ,      -3.3800 ,       0.7800 ,       0.7800 ,             
ACTPol_2020        ,          ,    2625.5 ,           ,      -3.9200 ,       0.5200 ,       0.5200 ,             
ACTPol_2020        ,          ,    2825.5 ,           ,      -1.1700 ,       0.5100 ,       0.5100 ,             
ACTPol_2020        ,          ,    3025.5 ,           ,      -2.0600 ,       0.4900 ,       0.4900 ,             
ACTPol_2020        ,          ,    3325.5 ,           ,      -0.0300 ,       0.3700 ,       0.3700 ,             
ACTPol_2020        ,          ,    3725.5 ,           ,      -0.6800 ,       0.4300 ,       0.4300 ,             
ACTPol_2020        ,          ,    4125.5 ,           ,       0.2400 ,       0.5200 ,       0.5200 ,             
BICEP2/Keck_2015   ,          ,      45.3 ,           ,       3.1700 ,       2.3900 ,       2.3900 ,             
BICEP2/Keck_2015   ,          ,      74.2 ,           ,      -5.1500 ,       3.1600 ,       3.1600 ,             
BICEP2/Keck_2015   ,          ,     109.2 ,           ,     -31.0000 ,       5.2700 ,       5.2700 ,             
BICEP2/Keck_2015   ,          ,     144.3 ,           ,     -49.4000 ,       5.7400 ,       5.7400 ,             
BICEP2/Keck_2015   ,          ,     179.1 ,           ,     -26.7000 ,       5.3100 ,       5.3100 ,             
BICEP2/Keck_2015   ,          ,     213.7 ,           ,      17.1000 ,       5.7600 ,       5.7600 ,             
BICEP2/Keck_2015   ,          ,     248.4 ,           ,      56.8000 ,       7.0500 ,       7.0500 ,             
BICEP2/Keck_2015   ,          ,     283.0 ,           ,     111.0000 ,       8.4400 ,       8.4400 ,             
BICEP2/Keck_2015   ,          ,     317.2 ,           ,     145.0000 ,      11.3000 ,      11.3000 ,             
Planck_2018        ,          ,       2.0 ,           ,       2.9600 ,       4.0300 ,       4.0300 ,             
Planck_2018        ,          ,       3.0 ,           ,      -2.7900 ,       3.1300 ,       3.1300 ,             
Planck_2018        ,          ,       4.0 ,           ,       1.9900 ,       2.5200 ,       2.5200 ,             
Planck_2018        ,          ,       5.0 ,           ,       3.5800 ,       1.8700 ,       1.8700 ,             
Planck_2018        ,          ,       6.0 ,           ,       0.4600 ,       1.6800 ,       1.6800 ,             
Planck_2018        ,          ,       7.0 ,           ,       2.5000 ,       1.3400 ,       1.3400 ,             
Planck_2018        ,          ,       8.0 ,           ,       0.6800 ,       1.1900 ,       1.1900 ,             
Planck_2018        ,          ,       9.0 ,           ,       2.3200 ,       1.3100 ,       1.3100 ,             
Planck_2018        ,          ,      10.0 ,           ,      -0.0200 ,       1.1000 ,       1.1000 ,             
Planck_2018        ,          ,      11.0 ,           ,       1.1800 ,       1.0100 ,       1.0100 ,             
Planck_2018        ,          ,      12.0 ,           ,       1.4800 ,       1.0800 ,       1.0800 ,             
Planck_2018        ,          ,      13.0 ,           ,       0.6300 ,       1.0900 ,       1.0900 ,             
Planck_2018        ,          ,      14.0 ,           ,       0.6000 ,       1.1200 ,       1.1200 ,             
Planck_2018        ,          ,      15.0 ,           ,       0.8800 ,       1.1100 ,       1.1100 ,             
Planck_2018        ,          ,      16.0 ,           ,       0.6500 ,       1.1600 ,       1.1600 ,             
Planck_2018        ,          ,      17.0 ,           ,       2.0000 ,       1.1100 ,       1.1100 ,             
Planck_2018        ,          ,      18.0 ,           ,      -1.4900 ,       1.3400 ,       1.3400 ,             
Planck_2018        ,          ,      19.0 ,           ,      -2.1300 ,       1.2200 ,       1.2200 ,             
Planck_2018        ,          ,      20.0 ,           ,       1.3400 ,       1.2200 ,       1.2200 ,             
Planck_2018        ,          ,      21.0 ,           ,       1.1300 ,       1.3400 ,       1.3400 ,             
Planck_2018        ,          ,      22.0 ,           ,       0.1900 ,       1.3300 ,       1.3300 ,             
Planck_2018        ,          ,      23.0 ,           ,       1.8600 ,       1.4100 ,       1.4100 ,             
