#Measurements of the CMB-only TT power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
ACTPol             ,          ,     500.0 ,           ,    2211.2000 ,     208.4000 ,     208.4000 ,             
ACTPol             ,          ,     550.0 ,           ,    2468.0000 ,     194.7000 ,     194.7000 ,             
ACTPol             ,          ,     600.0 ,           ,    2289.3000 ,     153.1000 ,     153.1000 ,             
ACTPol             ,          ,     650.0 ,           ,    1977.6000 ,     134.3000 ,     134.3000 ,             
ACTPol             ,          ,     700.0 ,           ,    1870.7000 ,     125.7000 ,     125.7000 ,             
ACTPol             ,          ,     750.0 ,           ,    2242.3000 ,     135.5000 ,     135.5000 ,             
ACTPol             ,          ,     800.0 ,           ,    2564.3999 ,     143.7000 ,     143.7000 ,             
ACTPol             ,          ,     850.0 ,           ,    2521.5000 ,     137.8000 ,     137.8000 ,             
ACTPol             ,          ,     900.0 ,           ,    1902.2000 ,      95.7000 ,      95.7000 ,             
ACTPol             ,          ,     950.0 ,           ,    1373.1000 ,      73.8000 ,      73.8000 ,             
ACTPol             ,          ,    1000.0 ,           ,    1017.2000 ,      62.0000 ,      62.0000 ,             
ACTPol             ,          ,    1050.0 ,           ,    1003.7000 ,      59.6000 ,      59.6000 ,             
ACTPol             ,          ,    1100.0 ,           ,    1298.3000 ,      60.8000 ,      60.8000 ,             
ACTPol             ,          ,    1150.0 ,           ,    1202.2000 ,      59.0000 ,      59.0000 ,             
ACTPol             ,          ,    1200.0 ,           ,     990.8000 ,      51.1000 ,      51.1000 ,             
ACTPol             ,          ,    1250.0 ,           ,     849.4000 ,      38.1000 ,      38.1000 ,             
ACTPol             ,          ,    1300.0 ,           ,     654.2000 ,      36.3000 ,      36.3000 ,             
ACTPol             ,          ,    1350.0 ,           ,     825.5000 ,      36.4000 ,      36.4000 ,             
ACTPol             ,          ,    1400.0 ,           ,     836.3000 ,      38.1000 ,      38.1000 ,             
ACTPol             ,          ,    1450.0 ,           ,     774.6000 ,      36.1000 ,      36.1000 ,             
ACTPol             ,          ,    1500.0 ,           ,     645.4000 ,      29.6000 ,      29.6000 ,             
ACTPol             ,          ,    1550.0 ,           ,     510.0000 ,      24.1000 ,      24.1000 ,             
ACTPol             ,          ,    1600.0 ,           ,     445.0000 ,      20.0000 ,      20.0000 ,             
ACTPol             ,          ,    1650.0 ,           ,     408.9000 ,      19.4000 ,      19.4000 ,             
ACTPol             ,          ,    1700.0 ,           ,     377.5000 ,      18.5000 ,      18.5000 ,             
ACTPol             ,          ,    1750.0 ,           ,     383.9000 ,      17.3000 ,      17.3000 ,             
ACTPol             ,          ,    1800.0 ,           ,     351.0000 ,      16.1000 ,      16.1000 ,             
ACTPol             ,          ,    1850.0 ,           ,     290.4000 ,      14.3000 ,      14.3000 ,             
ACTPol             ,          ,    1900.0 ,           ,     247.9000 ,      12.5000 ,      12.5000 ,             
ACTPol             ,          ,    1950.0 ,           ,     253.8000 ,      11.8000 ,      11.8000 ,             
ACTPol             ,          ,    2000.0 ,           ,     234.2000 ,      11.8000 ,      11.8000 ,             
ACTPol             ,          ,    2075.0 ,           ,     223.3000 ,       7.5000 ,       7.5000 ,             
ACTPol             ,          ,    2175.0 ,           ,     151.2000 ,       6.1000 ,       6.1000 ,             
ACTPol             ,          ,    2275.0 ,           ,     114.8000 ,       5.1000 ,       5.1000 ,             
ACTPol             ,          ,    2375.0 ,           ,     103.7000 ,       4.9000 ,       4.9000 ,             
ACTPol             ,          ,    2475.0 ,           ,      84.2000 ,       4.2000 ,       4.2000 ,             
ACTPol             ,          ,    2625.0 ,           ,      63.3000 ,       2.6000 ,       2.6000 ,             
ACTPol             ,          ,    2825.0 ,           ,      35.7000 ,       2.3000 ,       2.3000 ,             
ACTPol             ,          ,    3025.0 ,           ,      24.9000 ,       2.0000 ,       2.0000 ,             
ACTPol             ,          ,    3325.0 ,           ,      13.1000 ,       1.5000 ,       1.5000 ,             
ACTPol             ,          ,    3725.0 ,           ,       3.2000 ,       1.4000 ,       1.4000 ,             
ACTPol             ,          ,    4125.0 ,           ,       0.4000 ,       1.5000 ,       1.5000 ,             
Planck_COM_PowerSp ,          ,       2.0 ,           ,     242.2000 ,     140.1000 ,     563.6000 ,             
Planck_COM_PowerSp ,          ,       3.0 ,           ,     886.2000 ,     424.2000 ,    1144.9000 ,             
Planck_COM_PowerSp ,          ,       4.0 ,           ,     728.1000 ,     307.9000 ,     697.0000 ,             
Planck_COM_PowerSp ,          ,       5.0 ,           ,    1391.6000 ,     530.0000 ,    1066.9000 ,             
Planck_COM_PowerSp ,          ,       6.0 ,           ,     542.6000 ,     191.8000 ,     357.9000 ,             
Planck_COM_PowerSp ,          ,       7.0 ,           ,    1122.7000 ,     367.3000 ,     647.2000 ,             
Planck_COM_PowerSp ,          ,       8.0 ,           ,     657.0000 ,     202.0000 ,     340.5000 ,             
Planck_COM_PowerSp ,          ,       9.0 ,           ,     649.0000 ,     191.1000 ,     310.9000 ,             
Planck_COM_PowerSp ,          ,      10.0 ,           ,     874.7000 ,     244.1000 ,     385.7000 ,             
Planck_COM_PowerSp ,          ,      11.0 ,           ,     986.0000 ,     262.2000 ,     403.9000 ,             
Planck_COM_PowerSp ,          ,      12.0 ,           ,     783.1000 ,     201.5000 ,     303.9000 ,             
Planck_COM_PowerSp ,          ,      13.0 ,           ,     678.7000 ,     168.7000 ,     250.1000 ,             
Planck_COM_PowerSp ,          ,      14.0 ,           ,     824.5000 ,     196.5000 ,     286.5000 ,             
Planck_COM_PowerSp ,          ,      15.0 ,           ,     877.4000 ,     203.1000 ,     291.8000 ,             
Planck_COM_PowerSp ,          ,      16.0 ,           ,     703.9000 ,     162.5000 ,     230.9000 ,             
Planck_COM_PowerSp ,          ,      17.0 ,           ,     881.2000 ,     193.8000 ,     272.0000 ,             
Planck_COM_PowerSp ,          ,      18.0 ,           ,     680.0000 ,     146.8000 ,     204.0000 ,             
Planck_COM_PowerSp ,          ,      19.0 ,           ,     841.8000 ,     177.6000 ,     244.4000 ,             
Planck_COM_PowerSp ,          ,      20.0 ,           ,     763.3000 ,     156.4000 ,     213.1000 ,             
Planck_COM_PowerSp ,          ,      21.0 ,           ,     670.4000 ,     136.7000 ,     184.9000 ,             
Planck_COM_PowerSp ,          ,      22.0 ,           ,     600.5000 ,     120.8000 ,     162.2000 ,             
Planck_COM_PowerSp ,          ,      23.0 ,           ,     774.0000 ,     151.0000 ,     201.3000 ,             
Planck_COM_PowerSp ,          ,      24.0 ,           ,     822.6000 ,     156.2000 ,     207.0000 ,             
Planck_COM_PowerSp ,          ,      25.0 ,           ,     848.7000 ,     160.7000 ,     211.3000 ,             
Planck_COM_PowerSp ,          ,      26.0 ,           ,     903.5000 ,     166.7000 ,     217.8000 ,             
Planck_COM_PowerSp ,          ,      27.0 ,           ,     897.5000 ,     161.8000 ,     210.5000 ,             
Planck_COM_PowerSp ,          ,      28.0 ,           ,    1142.3000 ,     201.7000 ,     261.6000 ,             
Planck_COM_PowerSp ,          ,      29.0 ,           ,    1140.0000 ,     198.3000 ,     255.5000 ,             
Planck_Plik_lite   ,          ,      32.0 ,           ,    1108.7000 ,     117.7000 ,     117.7000 ,             
Planck_Plik_lite   ,          ,      37.0 ,           ,    1188.2000 ,     117.3000 ,     117.3000 ,             
Planck_Plik_lite   ,          ,      42.0 ,           ,    1437.5000 ,     118.3000 ,     118.3000 ,             
Planck_Plik_lite   ,          ,      47.0 ,           ,    1380.1000 ,     119.8000 ,     119.8000 ,             
Planck_Plik_lite   ,          ,      52.0 ,           ,    1333.3000 ,     122.2000 ,     122.2000 ,             
Planck_Plik_lite   ,          ,      57.0 ,           ,    1606.1000 ,     124.5000 ,     124.5000 ,             
Planck_Plik_lite   ,          ,      62.0 ,           ,    1677.5000 ,     127.6000 ,     127.6000 ,             
Planck_Plik_lite   ,          ,      67.0 ,           ,    1842.7000 ,     130.9000 ,     130.9000 ,             
Planck_Plik_lite   ,          ,      72.0 ,           ,    1987.1000 ,     134.5000 ,     134.5000 ,             
Planck_Plik_lite   ,          ,      77.0 ,           ,    1773.1000 ,     138.4000 ,     138.4000 ,             
Planck_Plik_lite   ,          ,      82.0 ,           ,    2175.3999 ,     143.1000 ,     143.1000 ,             
Planck_Plik_lite   ,          ,      87.0 ,           ,    2341.8999 ,     147.5000 ,     147.5000 ,             
Planck_Plik_lite   ,          ,      92.0 ,           ,    2459.5000 ,     152.5000 ,     152.5000 ,             
