#Measurements of the power spectrum of the gravitational lensing potential, power is 10^7 [l(l+1)]^2 C_l^phiphi / 2pi
#Upper limits are listed for bins where the measured C_l^phiphi is zero or negative.
#They are 95% confidence limits calculated from the part of the Gaussian likelihood
#function corresponding to C_l^phiphi > 0.
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
       ACTPol_2016 ,       80 ,     138.0 ,       240 ,       0.6714 ,       0.1621 ,       0.1621 ,             
       ACTPol_2016 ,      240 ,     301.0 ,       420 ,       0.6002 ,       0.1173 ,       0.1173 ,             
       ACTPol_2016 ,      420 ,     484.0 ,       600 ,       0.2646 ,       0.0844 ,       0.0844 ,             
       ACTPol_2016 ,      601 ,     697.0 ,       900 ,       0.0867 ,       0.0600 ,       0.0600 ,             
       ACTPol_2016 ,      901 ,    1002.0 ,      1200 ,       0.1729 ,       0.0568 ,       0.0568 ,             
       ACTPol_2016 ,     1201 ,    1304.0 ,      1500 ,       0.0788 ,       0.0638 ,       0.0638 ,             
       ACTPol_2016 ,     1501 ,    1602.0 ,      1800 ,       0.0556 ,       0.0803 ,       0.0803 ,             
       ACTPol_2016 ,     1801 ,    1911.0 ,      2100 ,      -0.0842 ,       0.1765 ,       0.1765 ,        0.380
  BICEP2/Keck_2016 ,       30 ,      63.5 ,        97 ,       1.7734 ,       1.0049 ,       1.0049 ,             
  BICEP2/Keck_2016 ,       97 ,     130.5 ,       164 ,       1.1894 ,       0.5753 ,       0.5753 ,             
  BICEP2/Keck_2016 ,      164 ,     197.5 ,       231 ,       0.6752 ,       0.4630 ,       0.4630 ,             
  BICEP2/Keck_2016 ,      231 ,     264.5 ,       298 ,       0.5003 ,       0.4298 ,       0.4298 ,             
  BICEP2/Keck_2016 ,      298 ,     331.5 ,       365 ,       0.3523 ,       0.6341 ,       0.6341 ,             
  BICEP2/Keck_2016 ,      365 ,     398.5 ,       432 ,       0.5758 ,       0.9661 ,       0.9661 ,             
  BICEP2/Keck_2016 ,      432 ,     465.5 ,       499 ,       0.1790 ,       1.4258 ,       1.4258 ,             
  BICEP2/Keck_2016 ,      499 ,     532.5 ,       566 ,       3.0673 ,       1.8212 ,       1.8212 ,             
  BICEP2/Keck_2016 ,      566 ,     599.5 ,       633 ,      -0.3002 ,       2.3378 ,       2.3378 ,        5.540
  BICEP2/Keck_2016 ,      633 ,     666.5 ,       700 ,       3.1735 ,       4.1888 ,       4.1888 ,             
       Planck_2015 ,        8 ,      14.0 ,        20 ,       1.2900 ,       0.2100 ,       0.2100 ,             
       Planck_2015 ,       21 ,      30.0 ,        39 ,       1.3900 ,       0.1300 ,       0.1300 ,             
       Planck_2015 ,       40 ,      52.5 ,        65 ,       1.4000 ,       0.0900 ,       0.0900 ,             
       Planck_2015 ,       66 ,      83.0 ,       100 ,       1.1300 ,       0.0600 ,       0.0600 ,             
       Planck_2015 ,      101 ,     122.5 ,       144 ,       0.8800 ,       0.0400 ,       0.0400 ,             
       Planck_2015 ,      145 ,     171.5 ,       198 ,       0.6000 ,       0.0400 ,       0.0400 ,             
       Planck_2015 ,      199 ,     231.0 ,       263 ,       0.4500 ,       0.0400 ,       0.0400 ,             
       Planck_2015 ,      264 ,     301.0 ,       338 ,       0.4000 ,       0.0400 ,       0.0400 ,             
       Planck_2015 ,      339 ,     382.0 ,       425 ,       0.3000 ,       0.0300 ,       0.0300 ,             
       Planck_2015 ,      426 ,     475.5 ,       525 ,       0.2000 ,       0.0300 ,       0.0300 ,             
       Planck_2015 ,      526 ,     581.5 ,       637 ,       0.1100 ,       0.0300 ,       0.0300 ,             
       Planck_2015 ,      638 ,     700.0 ,       762 ,       0.0200 ,       0.0300 ,       0.0300 ,             
       Planck_2015 ,      763 ,     832.0 ,       901 ,       0.0700 ,       0.0200 ,       0.0200 ,             
       Planck_2015 ,      902 ,     978.0 ,      1054 ,       0.0800 ,       0.0300 ,       0.0300 ,             
       Planck_2015 ,     1055 ,    1138.0 ,      1221 ,       0.0100 ,       0.0300 ,       0.0300 ,             
       Planck_2015 ,     1222 ,    1313.0 ,      1404 ,       0.0500 ,       0.0300 ,       0.0300 ,             
       Planck_2015 ,     1405 ,    1503.5 ,      1602 ,       0.0300 ,       0.0400 ,       0.0400 ,             
       Planck_2015 ,     1603 ,    1709.5 ,      1816 ,      -0.0600 ,       0.0500 ,       0.0500 ,        0.090
       Planck_2015 ,     1817 ,    1932.5 ,      2048 ,      -0.0100 ,       0.0500 ,       0.0500 ,        0.120
       SPTpol_2015 ,      100 ,     117.0 ,       133 ,       1.4700 ,       0.3700 ,       0.3700 ,             
       SPTpol_2015 ,      134 ,     158.0 ,       181 ,       0.5800 ,       0.2400 ,       0.2400 ,             
       SPTpol_2015 ,      182 ,     213.0 ,       244 ,       0.4000 ,       0.1900 ,       0.1900 ,             
       SPTpol_2015 ,      245 ,     288.0 ,       330 ,       0.2900 ,       0.1300 ,       0.1300 ,             
       SPTpol_2015 ,      331 ,     389.0 ,       446 ,       0.3310 ,       0.0920 ,       0.0920 ,             
       SPTpol_2015 ,      447 ,     525.0 ,       602 ,       0.1210 ,       0.0670 ,       0.0670 ,             
       SPTpol_2015 ,      603 ,     708.0 ,       813 ,       0.1150 ,       0.0530 ,       0.0530 ,             
       SPTpol_2015 ,      814 ,     956.0 ,      1097 ,       0.1560 ,       0.0460 ,       0.0460 ,             
       SPTpol_2015 ,     1098 ,    1290.0 ,      1481 ,       0.0080 ,       0.0380 ,       0.0380 ,             
       SPTpol_2015 ,     1482 ,    1741.0 ,      1998 ,       0.0000 ,       0.0410 ,       0.0410 ,        0.100
    POLARBEAR_2014 ,      100 ,     200.0 ,       300 ,       0.7850 ,       0.2896 ,       0.2896 ,             
    POLARBEAR_2014 ,      300 ,     400.0 ,       500 ,       0.2587 ,       0.2188 ,       0.2188 ,             
    POLARBEAR_2014 ,      500 ,     600.0 ,       700 ,      -0.0228 ,       0.2258 ,       0.2258 ,        0.540
    POLARBEAR_2014 ,      700 ,     800.0 ,       900 ,       0.2438 ,       0.2624 ,       0.2624 ,             
    POLARBEAR_2014 ,      900 ,    1000.0 ,      1100 ,       0.6456 ,       0.3554 ,       0.3554 ,             
    POLARBEAR_2014 ,     1100 ,    1200.0 ,      1300 ,      -0.1863 ,       0.4566 ,       0.4566 ,        1.010
    POLARBEAR_2014 ,     1300 ,    1400.0 ,      1500 ,       0.5996 ,       0.6470 ,       0.6470 ,             
