#Measurements of the power spectrum of the gravitational lensing potential, power is 10^7 [l(l+1)]^2 C_l^phiphi / 2pi
#Upper limits are listed for bins where the measured C_l^phiphi is zero or negative.
#They are 95% confidence limits calculated from the part of the Gaussian likelihood
#function corresponding to C_l^phiphi > 0.
#
  Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
    POLARBEAR_2019 ,      100 ,     200.0 ,       300 ,       1.0470 ,       0.1910 ,       0.1910 ,             
    POLARBEAR_2019 ,      300 ,     400.0 ,       500 ,       0.1550 ,       0.1380 ,       0.1380 ,             
    POLARBEAR_2019 ,      500 ,     600.0 ,       700 ,       0.1960 ,       0.1150 ,       0.1150 ,             
    POLARBEAR_2019 ,      700 ,     800.0 ,       900 ,       0.0700 ,       0.1140 ,       0.1140 ,             
    POLARBEAR_2019 ,      900 ,    1000.0 ,      1100 ,      -0.1510 ,       0.1330 ,       0.1330 ,        0.244
    POLARBEAR_2019 ,     1100 ,    1200.0 ,      1300 ,      -0.1080 ,       0.1670 ,       0.1670 ,        0.346
    POLARBEAR_2019 ,     1300 ,    1400.0 ,      1500 ,      -0.0580 ,       0.2410 ,       0.2410 ,        0.555
    POLARBEAR_2019 ,     1500 ,    1600.0 ,      1700 ,      -0.0190 ,       0.3350 ,       0.3350 ,        0.809
    POLARBEAR_2019 ,     1700 ,    1800.0 ,      1900 ,       0.4280 ,       0.4130 ,       0.4130 ,             
       SPTpol_2019 ,      100 ,     117.0 ,       133 ,       0.7283 ,       0.1464 ,       0.1464 ,             
       SPTpol_2019 ,      134 ,     158.0 ,       181 ,       0.6627 ,       0.1025 ,       0.1025 ,             
       SPTpol_2019 ,      182 ,     213.0 ,       244 ,       0.5577 ,       0.0732 ,       0.0732 ,             
       SPTpol_2019 ,      245 ,     288.0 ,       330 ,       0.3240 ,       0.0509 ,       0.0509 ,             
       SPTpol_2019 ,      331 ,     389.0 ,       446 ,       0.2693 ,       0.0369 ,       0.0369 ,             
       SPTpol_2019 ,      447 ,     525.0 ,       602 ,       0.1655 ,       0.0267 ,       0.0267 ,             
       SPTpol_2019 ,      603 ,     708.0 ,       813 ,       0.1261 ,       0.0204 ,       0.0204 ,             
       SPTpol_2019 ,      814 ,     956.0 ,      1097 ,       0.0547 ,       0.0159 ,       0.0159 ,             
       SPTpol_2019 ,     1098 ,    1290.0 ,      1481 ,       0.0516 ,       0.0146 ,       0.0146 ,             
       SPTpol_2019 ,     1482 ,    1741.0 ,      1998 ,       0.0337 ,       0.0159 ,       0.0159 ,             
       Planck_2018 ,        8 ,      15.3 ,        20 ,       1.3268 ,       0.2480 ,       0.2480 ,             
       Planck_2018 ,       21 ,      31.0 ,        39 ,       1.4840 ,       0.1540 ,       0.1540 ,             
       Planck_2018 ,       40 ,      53.1 ,        65 ,       1.4338 ,       0.1072 ,       0.1072 ,             
       Planck_2018 ,       66 ,      83.0 ,       100 ,       1.1628 ,       0.0570 ,       0.0570 ,             
       Planck_2018 ,      101 ,     121.5 ,       144 ,       0.8678 ,       0.0452 ,       0.0452 ,             
       Planck_2018 ,      145 ,     169.2 ,       198 ,       0.6105 ,       0.0412 ,       0.0412 ,             
       Planck_2018 ,      199 ,     227.5 ,       263 ,       0.4668 ,       0.0410 ,       0.0410 ,             
       Planck_2018 ,      264 ,     298.4 ,       338 ,       0.4202 ,       0.0382 ,       0.0382 ,             
       Planck_2018 ,      339 ,     381.2 ,       425 ,       0.2822 ,       0.0370 ,       0.0370 ,             
       Planck_2018 ,      426 ,     473.5 ,       525 ,       0.2023 ,       0.0298 ,       0.0298 ,             
       Planck_2018 ,      526 ,     577.2 ,       637 ,       0.1312 ,       0.0304 ,       0.0304 ,             
       Planck_2018 ,      638 ,     697.1 ,       762 ,       0.0544 ,       0.0278 ,       0.0278 ,             
       Planck_2018 ,      763 ,     827.6 ,       901 ,       0.0719 ,       0.0262 ,       0.0262 ,             
       Planck_2018 ,      902 ,    1202.4 ,      2048 ,       0.0363 ,       0.0155 ,       0.0155 ,             
   SPT/Planck_2017 ,       50 ,      55.0 ,        60 ,       1.5117 ,       0.4356 ,       0.4356 ,             
   SPT/Planck_2017 ,       61 ,      67.5 ,        74 ,       1.0078 ,       0.3543 ,       0.3543 ,             
   SPT/Planck_2017 ,       75 ,      83.0 ,        91 ,       1.3016 ,       0.2993 ,       0.2993 ,             
   SPT/Planck_2017 ,       92 ,     102.0 ,       112 ,       0.8013 ,       0.2160 ,       0.2160 ,             
   SPT/Planck_2017 ,      113 ,     125.5 ,       138 ,       0.6604 ,       0.1834 ,       0.1834 ,             
   SPT/Planck_2017 ,      139 ,     154.5 ,       170 ,       0.7534 ,       0.1524 ,       0.1524 ,             
   SPT/Planck_2017 ,      171 ,     190.0 ,       209 ,       0.6068 ,       0.1206 ,       0.1206 ,             
   SPT/Planck_2017 ,      210 ,     233.0 ,       256 ,       0.3094 ,       0.0975 ,       0.0975 ,             
   SPT/Planck_2017 ,      257 ,     286.0 ,       315 ,       0.3503 ,       0.0799 ,       0.0799 ,             
   SPT/Planck_2017 ,      316 ,     351.0 ,       386 ,       0.3484 ,       0.0678 ,       0.0678 ,             
   SPT/Planck_2017 ,      387 ,     430.5 ,       474 ,       0.2694 ,       0.0538 ,       0.0538 ,             
   SPT/Planck_2017 ,      475 ,     528.5 ,       582 ,       0.1276 ,       0.0446 ,       0.0446 ,             
   SPT/Planck_2017 ,      583 ,     649.0 ,       715 ,       0.1322 ,       0.0369 ,       0.0369 ,             
   SPT/Planck_2017 ,      716 ,     796.5 ,       877 ,       0.1211 ,       0.0311 ,       0.0311 ,             
   SPT/Planck_2017 ,      878 ,     977.5 ,      1077 ,       0.0702 ,       0.0254 ,       0.0254 ,             
   SPT/Planck_2017 ,     1078 ,    1200.0 ,      1322 ,       0.0426 ,       0.0242 ,       0.0242 ,             
   SPT/Planck_2017 ,     1323 ,    1472.5 ,      1622 ,       0.0475 ,       0.0232 ,       0.0232 ,             
   SPT/Planck_2017 ,     1623 ,    1807.0 ,      1991 ,       0.0122 ,       0.0256 ,       0.0256 ,             
       ACTPol_2016 ,       80 ,     138.0 ,       240 ,       0.6714 ,       0.1621 ,       0.1621 ,             
       ACTPol_2016 ,      240 ,     301.0 ,       420 ,       0.6002 ,       0.1173 ,       0.1173 ,             
       ACTPol_2016 ,      420 ,     484.0 ,       600 ,       0.2646 ,       0.0844 ,       0.0844 ,             
       ACTPol_2016 ,      601 ,     697.0 ,       900 ,       0.0867 ,       0.0600 ,       0.0600 ,             
       ACTPol_2016 ,      901 ,    1002.0 ,      1200 ,       0.1729 ,       0.0568 ,       0.0568 ,             
       ACTPol_2016 ,     1201 ,    1304.0 ,      1500 ,       0.0788 ,       0.0638 ,       0.0638 ,             
       ACTPol_2016 ,     1501 ,    1602.0 ,      1800 ,       0.0556 ,       0.0803 ,       0.0803 ,             
       ACTPol_2016 ,     1801 ,    1911.0 ,      2100 ,      -0.0842 ,       0.1765 ,       0.1765 ,        0.380
  BICEP2/Keck_2016 ,       30 ,      63.5 ,        97 ,       1.7734 ,       1.0049 ,       1.0049 ,             
  BICEP2/Keck_2016 ,       97 ,     130.5 ,       164 ,       1.1894 ,       0.5753 ,       0.5753 ,             
  BICEP2/Keck_2016 ,      164 ,     197.5 ,       231 ,       0.6752 ,       0.4630 ,       0.4630 ,             
  BICEP2/Keck_2016 ,      231 ,     264.5 ,       298 ,       0.5003 ,       0.4298 ,       0.4298 ,             
  BICEP2/Keck_2016 ,      298 ,     331.5 ,       365 ,       0.3523 ,       0.6341 ,       0.6341 ,             
  BICEP2/Keck_2016 ,      365 ,     398.5 ,       432 ,       0.5758 ,       0.9661 ,       0.9661 ,             
  BICEP2/Keck_2016 ,      432 ,     465.5 ,       499 ,       0.1790 ,       1.4258 ,       1.4258 ,             
  BICEP2/Keck_2016 ,      499 ,     532.5 ,       566 ,       3.0673 ,       1.8212 ,       1.8212 ,             
  BICEP2/Keck_2016 ,      566 ,     599.5 ,       633 ,      -0.3002 ,       2.3378 ,       2.3378 ,        5.540
  BICEP2/Keck_2016 ,      633 ,     666.5 ,       700 ,       3.1735 ,       4.1888 ,       4.1888 ,             
          ACT_2013 ,       75 ,     120.0 ,       150 ,       0.9972 ,       0.3471 ,       0.3471 ,             
          ACT_2013 ,      150 ,     260.0 ,       350 ,       0.4394 ,       0.1634 ,       0.1634 ,             
          ACT_2013 ,      350 ,     460.0 ,       550 ,       0.1607 ,       0.1176 ,       0.1176 ,             
